iter	Passed	Remaining
544	22234	18562
545	22273	18520
546	22316	18481
547	22357	18441
548	22399	18401
549	22442	18362
550	22491	18327
551	22541	18294
552	22589	18259
553	22634	18221
554	22676	18182
555	22720	18143
556	22767	18107
557	22807	18066
558	22850	18026
559	22892	17986
560	22932	17945
561	22971	17903
562	23017	17865
563	23058	17825
564	23101	17785
565	23187	17779
566	23300	17794
567	23347	17757
568	23394	17720
569	23436	17679
570	23481	17641
571	23518	17597
572	23557	17555
573	23594	17511
574	23635	17469
575	23678	17430
576	23722	17391
577	23768	17353
578	23821	17320
579	23878	17291
580	23930	17257
581	23974	17218
582	24015	17177
583	24055	17135
584	24095	17093
585	24136	17052
586	24175	17009
587	24215	16967
588	24254	16924
589	24293	16881
590	24334	16840
591	24374	16798
592	24414	16756
593	24461	16719
594	24512	16685
595	24557	16646
596	24601	16606
597	24641	16565
598	24681	16523
599	24720	16480
600	24760	16438
601	24802	16397
602	24852	16362
603	24910	16332
604	24955	16293
605	24992	16249
606	25031	16206
607	25068	16162
608	25104	16118
609	25143	16075
610	25181	16032
611	25218	15988
612	25255	15944
613	25292	15900
614	25329	15856
615	25365	15812
616	25402	15768
617	25439	15725
618	25477	15681
619	25514	15637
620	25552	15594
621	25589	15551
622	25626	15507
623	25663	15464
624	25701	15420
625	25738	15377
626	25774	15333
627	25811	15289
628	25848	15245
629	25885	15202
630	25922	15159
631	25958	15115
632	25996	15072
633	26033	15029
634	26071	14985
635	26109	14943
636	26147	14900
637	26183	14856
638	26222	14814
639	26260	14771
640	26297	14728
641	26334	14684
642	26370	14641
643	26408	14598
644	26448	14557
645	26486	14514
646	26522	14470
647	26559	14427
648	26596	14383
649	26632	14340
650	26669	14297
651	26711	14257
652	26749	14214
653	26787	14171
654	26824	14129
655	26861	14085
656	26898	14043
657	26935	13999
658	26971	13956
659	27009	13913
660	27046	13870
661	27083	13828
662	27119	13784
663	27156	13741
664	27194	13699
665	27232	13657
666	27269	13614
667	27306	13571
668	27342	13528
669	27380	13485
670	27417	13442
671	27454	13400
672	27490	13357
673	27527	13314
674	27565	13272
675	27603	13230
676	27640	13187
677	27677	13144
678	27714	13102
679	27751	13059
680	27787	13016
681	27824	12973
682	27864	12932
683	27901	12889
684	27937	12847
685	27976	12805
686	28016	12764
687	28059	12724
688	28095	12681
689	28132	12639
690	28169	12596
691	28206	12554
692	28243	12511
693	28281	12469
694	28318	12427
695	28355	12385
696	28393	12343
697	28429	12300
698	28470	12259
699	28508	12217
700	28548	12176
701	28590	12136
702	28628	12094
703	28666	12053
704	28703	12010
705	28740	11968
706	28778	11926
707	28816	11884
708	28856	11843
709	28893	11801
710	28929	11759
711	28968	11717
712	29005	11675
713	29042	11633
714	29079	11591
715	29118	11549
716	29164	11511
717	29214	11474
718	29266	11437
719	29318	11401
720	29360	11361
721	29402	11321
722	29444	11280
723	29486	11240
724	29527	11199
725	29567	11159
726	29607	11118
727	29651	11078
728	29692	11038
729	29739	10999
730	29787	10961
731	29856	10931
732	29913	10896
733	29957	10856
734	29999	10816
735	30039	10775
736	30080	10734
737	30120	10693
738	30158	10651
739	30196	10609
740	30232	10567
741	30270	10525
742	30307	10483
743	30344	10441
744	30381	10399
745	30419	10357
